report_id,bleu,rouge1,rouge2,rougeL,bertscore,radeval_bertscore,f1radbert_ct_sample_acc,crimson,f1chexbert_sample_acc_5,f1chexbert_sample_acc_all,green,ratescore,srrbert_weighted_f1,srrbert_weighted_precision,srrbert_weighted_recall,temporal_f1
"report_generation_2036, valid_863_a_1.nii.gz",0.483775,0.719101,0.577878,0.579775,0.698826,0.840308,0.0,0.0,1.0,0.857143,0.636364,0.796633,0.5,0.5,0.5,1.0
"report_generation_2062, valid_875_a_1.nii.gz",0.045819,0.451025,0.16476,0.236902,0.497258,0.658571,0.0,-0.5882,0.6,0.571429,0.5,0.544268,0.25,0.25,0.25,0.0
"report_generation_2091, valid_886_a_1.nii.gz",0.471452,0.648084,0.540351,0.592334,0.739245,0.768559,0.0,0.0,1.0,0.928571,0.555556,0.771103,0.5,0.5,0.5,1.0
"report_generation_2311, valid_978_a_1.nii.gz",0.576542,0.789474,0.740088,0.763158,0.786639,0.853723,0.0,-0.5,1.0,0.785714,0.538462,0.728031,0.25,0.25,0.25,0.8
"report_generation_2445, valid_1033_a_1.nii.gz",0.140136,0.538462,0.241546,0.245192,0.549966,0.629186,0.0,-0.6,0.8,0.785714,0.375,0.547999,0.125,0.125,0.125,0.666667
"report_generation_2468, valid_1042_a_1.nii.gz",0.163745,0.513605,0.40273,0.42517,0.649242,0.782409,0.0,-0.6,0.6,0.785714,0.5,0.758598,0.222222,0.222222,0.222222,0.5
"report_generation_2501, valid_1058_a_1.nii.gz",0.475528,0.760417,0.586387,0.583333,0.75033,0.836203,0.0,-0.5,1.0,0.857143,0.555556,0.764954,0.166667,0.166667,0.166667,1.0
"report_generation_2576, valid_1091_a_1.nii.gz",0.087957,0.509804,0.221344,0.337255,0.565461,0.616659,0.0,0.0,1.0,0.857143,0.777778,0.678048,0.5,0.5,0.5,0.0
"report_generation_2626, valid_1113_a_1.nii.gz",0.226805,0.589474,0.325088,0.442105,0.645237,0.703716,0.0,0.0,0.8,0.785714,0.727273,0.670885,0.4,0.4,0.4,0.0
"report_generation_2639, valid_1120_a_1.nii.gz",0.053618,0.39501,0.137787,0.2079,0.460331,0.598643,0.0,-0.5,0.8,0.785714,0.333333,0.509678,0.3,0.3,0.3,0.0
"report_generation_2743, valid_1169_a_1.nii.gz",0.373245,0.645714,0.465517,0.554286,0.691371,0.708252,0.0,-0.3333,0.8,0.785714,0.5,0.708771,0.375,0.375,0.375,0.5
"report_generation_2755, valid_1171_a_1.nii.gz",0.198352,0.623794,0.31068,0.44373,0.665874,0.752576,0.0,0.0,0.8,0.857143,0.846154,0.6792,0.75,0.75,0.75,0.0
"report_generation_2761, valid_1173_a_1.nii.gz",0.097727,0.502655,0.188277,0.215929,0.552082,0.651269,0.0,0.1852,1.0,1.0,0.333333,0.615641,0.333333,0.333333,0.333333,0.0
"report_generation_2791, valid_1187_a_1.nii.gz",0.163037,0.515068,0.231405,0.290411,0.53287,0.560369,0.0,-0.6667,0.8,0.642857,0.375,0.572114,0.125,0.125,0.125,0.0
"report_generation_2882, valid_1231_a_1.nii.gz",0.083004,0.469613,0.210526,0.237569,0.550868,0.65367,0.0,-0.2941,0.8,0.857143,0.0,0.595876,0.25,0.25,0.25,0.0
"report_generation_2956, valid_1264_a_1.nii.gz",0.593433,0.798077,0.671498,0.745192,0.822958,0.862143,0.0,-0.5,1.0,1.0,0.555556,0.840136,0.5,0.5,0.5,0.666667
"report_generation_2991, valid_1281_a_1.nii.gz",0.207777,0.520161,0.368421,0.415323,0.594411,0.669891,0.0,0.0741,0.2,0.5,0.0,0.617712,0.363636,0.363636,0.363636,0.5
