metric,score
bertscore,0.6325
bleu,0.2739
bleu_1,0.4591
bleu_2,0.3669
bleu_3,0.3113
cider,0.0984
crimson,-0.2837
crimson_std,0.2849
f1chexbert_5_macro_f1,0.375758
f1chexbert_5_micro_f1,0.4
f1chexbert_5_weighted_f1,0.363636
f1chexbert_all_macro_f1,0.223893
f1chexbert_all_micro_f1,0.405063
f1chexbert_all_weighted_f1,0.389705
f1radbert_ct_accuracy,0.0
f1radbert_ct_macro_f1,0.1721
f1radbert_ct_micro_f1,0.2857
f1radbert_ct_weighted_f1,0.2957
green,0.477
green_std,0.2244
radeval_bertscore,0.7145
ratescore,0.6706
rouge1,0.5876
rouge2,0.3755
rougeL,0.4303
srrbert_weighted_f1,0.4585
srrbert_weighted_precision,0.4987
srrbert_weighted_recall,0.4396
temporal_f1,0.3902
